dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
745	51.974	40.641	3.680	7.817	13.856	14.028	20.665	22.648	13.773	18.118	-2.823	12.347	0.1808410	0.1133040	0.2277912	0.1145950	0.1807267	0.1114713	0.2273366	0.1112758	-0.0032795	0.8165369	-0.0186204	0.7531949	0.2806429	0.1412455	0.0763268	0.1255736	0.1374969	0.2234792	0.4196138
746	44.098	35.395	0.684	3.668	13.702	13.100	13.346	13.561	16.366	16.255	-7.841	6.303	0.2023508	0.0983856	0.1940704	0.1021947	0.2023999	0.0976760	0.1946912	0.1018410	-0.0026264	0.7145440	-0.0198096	0.7126741	0.2107936	0.1061970	0.0125831	0.0725164	0.0191394	0.1347508	0.5763561
747	56.470	40.519	1.128	5.966	17.177	15.872	16.946	14.962	21.218	19.871	-7.333	7.941	0.2572333	0.1048616	0.2523587	0.1063432	0.2571280	0.1031985	0.2520842	0.1049122	0.0007012	0.6638708	0.0146430	0.6922675	0.2708014	0.1017785	0.0160055	0.0901493	0.0275025	0.1486098	0.4929597
748	32.519	26.712	0.237	1.720	9.551	11.207	9.213	11.203	13.519	14.612	-8.684	2.678	0.1547559	0.1007288	0.1513952	0.1007610	0.1540053	0.0984725	0.1528621	0.1000532	0.0039675	0.8118890	-0.1168666	0.7880192	0.1582061	0.0938080	0.0051306	0.0462481	0.0140151	0.1325548	0.5929030
749	43.196	31.035	0.604	3.076	14.113	12.844	13.102	12.337	15.377	14.182	-7.928	5.553	0.1992648	0.0838037	0.1914347	0.0891314	0.2010727	0.0839855	0.1918985	0.0882578	-0.0850669	0.5943038	-0.0372022	0.6732538	0.2049788	0.0846204	0.0096291	0.0560854	0.0197545	0.1289659	0.4930424
750	70.166	47.360	1.810	8.864	20.926	16.784	21.797	19.343	25.634	21.869	-6.477	9.552	0.3153076	0.1127276	0.3139942	0.1079279	0.3150544	0.1112053	0.3148312	0.1076760	0.0110979	0.6351284	-0.0161366	0.6429834	0.3466503	0.1101906	0.0319994	0.1215583	0.0421813	0.1691022	0.3055828
751	26.843	27.741	4.782	17.604	6.930	8.325	6.519	7.798	8.612	11.365	-5.645	12.417	0.1080571	0.0866602	0.1064279	0.0969353	0.1079243	0.0844579	0.1059563	0.0942263	-0.0880899	0.7742654	-0.0429497	0.7952805	0.1705066	0.2017881	0.0632640	0.1998802	0.0854010	0.2733281	0.7035552
752	68.693	46.206	4.571	9.969	23.379	19.661	23.235	19.357	17.508	21.233	-1.410	14.808	0.2733715	0.1102249	0.2732827	0.1064672	0.2742601	0.1065937	0.2723417	0.1040953	-0.0686243	0.6215913	0.0287319	0.6823083	0.3671041	0.1296214	0.0937770	0.1548018	0.1374844	0.2206813	0.2719244
753	4.688	11.586	0.543	4.642	1.823	5.928	0.976	2.826	1.346	2.927	-8.381	5.143	0.0232207	0.0491163	0.0181288	0.0468308	0.0233547	0.0495957	0.0178598	0.0445689	-0.0653526	0.7660360	0.0203086	0.7759548	0.0291381	0.0884596	0.0084634	0.0659698	0.0196282	0.1638944	0.5482197
754	14.641	11.139	0.020	0.281	4.865	5.036	4.743	5.096	5.013	5.543	-8.963	0.860	0.0658323	0.0372869	0.0641528	0.0355000	0.0665209	0.0371744	0.0648016	0.0357570	-0.0950441	0.7659320	-0.0794116	0.7651975	0.0653229	0.0299001	0.0003304	0.0140752	0.0060440	0.1102683	0.5313159
